orbit1 orbit2 k3 k2 k1 tau DenDen error
1 1 0 0 0 0 144.38459443 0.34121498
1 1 0 0 0 1 144.39119075 0.34035817
1 1 0 0 0 2 144.38955180 0.34176330
1 1 0 0 0 3 144.38624103 0.34200734
1 1 0 0 0 4 144.39193669 0.34245357
1 1 0 0 0 5 144.39086000 0.33885053
1 1 0 0 0 6 144.38662933 0.34177834
1 1 0 0 0 7 144.40156974 0.34362401
1 1 0 0 0 8 144.38700784 0.34022198
1 1 0 0 0 9 144.38798300 0.33806967
1 1 0 0 0 10 144.38810643 0.34469375
1 1 0 0 0 11 144.39466179 0.34119310
1 1 0 0 0 12 144.38705104 0.34154276
1 1 0 0 0 13 144.38110508 0.34026695
1 1 0 0 0 14 144.38813718 0.34146150
1 1 0 0 0 15 144.38415553 0.34116567
1 1 0 0 0 16 144.39037923 0.33778291
1 1 0 0 0 17 144.38713703 0.33976013
1 1 0 0 0 18 144.38422923 0.33948432
1 1 0 0 0 19 144.38974171 0.34260463
1 1 0 0 0 20 144.38459443 0.34121498
1 1 0 0 1 0 0.41963790 0.00507708
1 1 0 0 1 1 0.42129359 0.00671675
1 1 0 0 1 2 0.41954615 0.00411755
1 1 0 0 1 3 0.42203313 0.00440192
1 1 0 0 1 4 0.41088423 0.00615354
1 1 0 0 1 5 0.41326815 0.00697483
1 1 0 0 1 6 0.41747666 0.00498461
1 1 0 0 1 7 0.40829151 0.00525362
1 1 0 0 1 8 0.41143484 0.00693819
1 1 0 0 1 9 0.40464536 0.00645914
1 1 0 0 1 10 0.40364948 0.00453070
1 1 0 0 1 11 0.40803293 0.00773258
1 1 0 0 1 12 0.40417597 0.00320286
1 1 0 0 1 13 0.40333162 0.00424369
1 1 0 0 1 14 0.40326663 0.00596669
1 1 0 0 1 15 0.41635466 0.00994492
1 1 0 0 1 16 0.40989556 0.00601852
1 1 0 0 1 17 0.41220657 0.00528998
1 1 0 0 1 18 0.41576579 0.00512867
1 1 0 0 1 19 0.41313315 0.00600886
1 1 0 0 1 20 0.41963790 0.00507708
1 1 0 0 2 0 0.46886249 0.00568537
1 1 0 0 2 1 0.45784954 0.00410744
1 1 0 0 2 2 0.45094092 0.00633303
1 1 0 0 2 3 0.43662401 0.00535876
1 1 0 0 2 4 0.43671627 0.00588981
1 1 0 0 2 5 0.42089081 0.00487277
1 1 0 0 2 6 0.41940941 0.00632164
1 1 0 0 2 7 0.42073146 0.00451048
1 1 0 0 2 8 0.41520566 0.00810760
1 1 0 0 2 9 0.41421674 0.00445466
1 1 0 0 2 10 0.41559173 0.00511173
1 1 0 0 2 11 0.42160580 0.00657646
1 1 0 0 2 12 0.40864136 0.00522274
1 1 0 0 2 13 0.41624545 0.00428503
1 1 0 0 2 14 0.42114767 0.00506801
1 1 0 0 2 15 0.42776679 0.00656718
1 1 0 0 2 16 0.42969349 0.00555842
1 1 0 0 2 17 0.43491270 0.00421028
1 1 0 0 2 18 0.45252496 0.00604321
1 1 0 0 2 19 0.45804388 0.00811027
1 1 0 0 2 20 0.46886249 0.00568537
1 1 0 0 3 0 0.52289081 0.00736687
1 1 0 0 3 1 0.48813224 0.00577898
1 1 0 0 3 2 0.47106003 0.00557100
1 1 0 0 3 3 0.46298574 0.00811422
1 1 0 0 3 4 0.44225417 0.00684266
1 1 0 0 3 5 0.43144469 0.00519895
1 1 0 0 3 6 0.42556031 0.00668210
1 1 0 0 3 7 0.42337079 0.00811837
1 1 0 0 3 8 0.41704658 0.00657192
1 1 0 0 3 9 0.41792973 0.00724343
1 1 0 0 3 10 0.41345988 0.00589845
1 1 0 0 3 11 0.40428566 0.00699360
1 1 0 0 3 12 0.42321684 0.00495029
1 1 0 0 3 13 0.42742985 0.00581817
1 1 0 0 3 14 0.43238795 0.00841922
1 1 0 0 3 15 0.43401707 0.00617469
1 1 0 0 3 16 0.44946084 0.00522959
1 1 0 0 3 17 0.47314718 0.00567567
1 1 0 0 3 18 0.47638889 0.00634939
1 1 0 0 3 19 0.49367892 0.00589520
1 1 0 0 3 20 0.52289081 0.00736687
1 1 0 0 4 0 0.57380976 0.00464193
1 1 0 0 4 1 0.54449834 0.00676795
1 1 0 0 4 2 0.51502013 0.00530334
1 1 0 0 4 3 0.48756685 0.00505692
1 1 0 0 4 4 0.47048810 0.00331860
1 1 0 0 4 5 0.47044511 0.00661674
1 1 0 0 4 6 0.45145388 0.00622391
1 1 0 0 4 7 0.43569408 0.00471875
1 1 0 0 4 8 0.43324072 0.00807162
1 1 0 0 4 9 0.42971087 0.00730201
1 1 0 0 4 10 0.43276891 0.00444316
1 1 0 0 4 11 0.43669036 0.00631920
1 1 0 0 4 12 0.44239773 0.00607035
1 1 0 0 4 13 0.43779762 0.00452989
1 1 0 0 4 14 0.44666868 0.00883343
1 1 0 0 4 15 0.46356493 0.00718422
1 1 0 0 4 16 0.47220121 0.00449691
1 1 0 0 4 17 0.49596387 0.00558745
1 1 0 0 4 18 0.51503270 0.00655003
1 1 0 0 4 19 0.54833323 0.00484372
1 1 0 0 4 20 0.57380976 0.00464193
1 1 0 0 5 0 0.60710816 0.00572561
1 1 0 0 5 1 0.56460447 0.00662892
1 1 0 0 5 2 0.53874485 0.00561568
1 1 0 0 5 3 0.50370111 0.00472563
1 1 0 0 5 4 0.48631828 0.00478530
1 1 0 0 5 5 0.46098310 0.00664790
1 1 0 0 5 6 0.44788949 0.00434837
1 1 0 0 5 7 0.44362162 0.00449093
1 1 0 0 5 8 0.43408083 0.00648456
1 1 0 0 5 9 0.42800759 0.00654828
1 1 0 0 5 10 0.42758532 0.00772046
1 1 0 0 5 11 0.42196258 0.00589322
1 1 0 0 5 12 0.43760780 0.00571904
1 1 0 0 5 13 0.43888067 0.00564075
1 1 0 0 5 14 0.45355535 0.00611599
1 1 0 0 5 15 0.46307134 0.00689939
1 1 0 0 5 16 0.48711056 0.00563228
1 1 0 0 5 17 0.50053384 0.00563148
1 1 0 0 5 18 0.53120416 0.00398264
1 1 0 0 5 19 0.56366205 0.00514690
1 1 0 0 5 20 0.60710816 0.00572561
1 1 0 0 6 0 0.62115121 0.00699115
