orbit1 orbit2 r3 r2 r1 tau DenDen error
1 1 0 0 0 0 1.62987618 0.00229257
1 1 0 0 0 1 1.58520450 0.00233514
1 1 0 0 0 2 1.55019265 0.00237946
1 1 0 0 0 3 1.52271452 0.00237290
1 1 0 0 0 4 1.50125594 0.00259463
1 1 0 0 0 5 1.48509802 0.00248197
1 1 0 0 0 6 1.47172884 0.00244196
1 1 0 0 0 7 1.46251305 0.00223354
1 1 0 0 0 8 1.45581913 0.00246362
1 1 0 0 0 9 1.45266262 0.00243630
1 1 0 0 0 10 1.45137823 0.00248439
1 1 0 0 0 11 1.45180767 0.00234496
1 1 0 0 0 12 1.45579271 0.00230072
1 1 0 0 0 13 1.46289900 0.00224419
1 1 0 0 0 14 1.47127997 0.00251674
1 1 0 0 0 15 1.48436499 0.00237229
1 1 0 0 0 16 1.50036429 0.00248840
1 1 0 0 0 17 1.52229360 0.00238288
1 1 0 0 0 18 1.54981416 0.00224312
1 1 0 0 0 19 1.58590662 0.00227141
1 1 0 0 0 20 1.62987618 0.00229257
1 1 0 0 1 0 0.94367679 0.00253379
1 1 0 0 1 1 0.95503767 0.00262977
1 1 0 0 1 2 0.96281218 0.00265138
1 1 0 0 1 3 0.96915532 0.00241850
1 1 0 0 1 4 0.97329127 0.00259158
1 1 0 0 1 5 0.97566186 0.00229757
1 1 0 0 1 6 0.97856558 0.00230246
1 1 0 0 1 7 0.98128728 0.00247002
1 1 0 0 1 8 0.98210706 0.00268232
1 1 0 0 1 9 0.98180355 0.00250426
1 1 0 0 1 10 0.98209208 0.00258770
1 1 0 0 1 11 0.98234172 0.00239482
1 1 0 0 1 12 0.98098844 0.00275562
1 1 0 0 1 13 0.98134928 0.00247958
1 1 0 0 1 14 0.97775646 0.00267718
1 1 0 0 1 15 0.97689268 0.00253572
1 1 0 0 1 16 0.97240154 0.00256374
1 1 0 0 1 17 0.96888504 0.00269977
1 1 0 0 1 18 0.96329213 0.00264314
1 1 0 0 1 19 0.95447748 0.00264596
1 1 0 0 1 20 0.94367679 0.00253379
1 1 0 0 2 0 1.00134788 0.00233973
1 1 0 0 2 1 1.00157314 0.00247536
1 1 0 0 2 2 1.00063381 0.00247576
1 1 0 0 2 3 1.00218801 0.00268144
1 1 0 0 2 4 1.00156471 0.00249508
1 1 0 0 2 5 1.00194775 0.00253211
1 1 0 0 2 6 1.00101777 0.00239447
1 1 0 0 2 7 1.00226143 0.00261453
1 1 0 0 2 8 1.00157146 0.00241229
1 1 0 0 2 9 1.00166863 0.00230328
1 1 0 0 2 10 1.00187601 0.00262767
1 1 0 0 2 11 1.00200343 0.00209386
1 1 0 0 2 12 1.00185841 0.00260800
1 1 0 0 2 13 1.00139568 0.00257915
1 1 0 0 2 14 1.00130385 0.00221792
1 1 0 0 2 15 1.00295883 0.00242452
1 1 0 0 2 16 1.00233975 0.00244943
1 1 0 0 2 17 1.00166267 0.00241106
1 1 0 0 2 18 1.00162132 0.00237988
1 1 0 0 2 19 1.00098043 0.00283027
1 1 0 0 2 20 1.00134788 0.00233973
1 1 0 0 3 0 0.99947848 0.00240046
1 1 0 0 3 1 1.00003330 0.00231705
1 1 0 0 3 2 0.99971192 0.00228854
1 1 0 0 3 3 0.99926308 0.00235450
1 1 0 0 3 4 0.99970815 0.00240569
1 1 0 0 3 5 1.00021494 0.00250805
1 1 0 0 3 6 1.00041610 0.00232657
1 1 0 0 3 7 1.00050855 0.00229469
1 1 0 0 3 8 1.00117817 0.00210837
1 1 0 0 3 9 1.00004503 0.00213090
1 1 0 0 3 10 0.99899295 0.00289221
1 1 0 0 3 11 0.99957283 0.00236047
1 1 0 0 3 12 0.99953855 0.00181004
1 1 0 0 3 13 0.99894105 0.00237832
1 1 0 0 3 14 0.99972390 0.00265678
1 1 0 0 3 15 1.00055261 0.00212109
1 1 0 0 3 16 0.99939883 0.00240398
1 1 0 0 3 17 1.00001638 0.00234158
1 1 0 0 3 18 1.00014993 0.00233007
1 1 0 0 3 19 1.00076567 0.00237158
1 1 0 0 3 20 0.99947848 0.00240046
1 1 0 0 4 0 1.00037481 0.00226820
1 1 0 0 4 1 1.00030497 0.00235960
1 1 0 0 4 2 1.00008649 0.00231857
1 1 0 0 4 3 0.99958733 0.00247271
1 1 0 0 4 4 0.99987343 0.00242472
1 1 0 0 4 5 0.99942137 0.00236203
1 1 0 0 4 6 0.99950502 0.00244778
1 1 0 0 4 7 0.99934076 0.00241049
1 1 0 0 4 8 0.99952112 0.00233486
1 1 0 0 4 9 1.00001055 0.00245505
1 1 0 0 4 10 1.00102841 0.00262438
1 1 0 0 4 11 0.99941972 0.00220384
1 1 0 0 4 12 1.00036000 0.00224784
1 1 0 0 4 13 1.00063931 0.00238177
1 1 0 0 4 14 0.99967381 0.00240766
1 1 0 0 4 15 0.99979178 0.00230017
1 1 0 0 4 16 1.00077872 0.00222161
1 1 0 0 4 17 1.00057249 0.00259927
1 1 0 0 4 18 0.99960318 0.00241317
1 1 0 0 4 19 1.00026529 0.00226558
1 1 0 0 4 20 1.00037481 0.00226820
1 1 0 0 5 0 0.99976103 0.00248414
1 1 0 0 5 1 0.99930338 0.00240096
