index orbit1 orbit2 r3 r2 r1 tau
1 1 1 0 0 0 0
2 1 1 0 0 0 1
3 1 1 0 0 0 2
4 1 1 0 0 0 3
5 1 1 0 0 0 4
6 1 1 0 0 0 5
7 1 1 0 0 0 6
8 1 1 0 0 0 7
9 1 1 0 0 0 8
10 1 1 0 0 0 9
11 1 1 0 0 0 10
12 1 1 0 0 0 11
13 1 1 0 0 0 12
14 1 1 0 0 0 13
15 1 1 0 0 0 14
16 1 1 0 0 0 15
17 1 1 0 0 0 16
18 1 1 0 0 0 17
19 1 1 0 0 0 18
20 1 1 0 0 0 19
21 1 1 0 0 0 20
22 1 1 0 0 1 0
23 1 1 0 0 1 1
24 1 1 0 0 1 2
25 1 1 0 0 1 3
26 1 1 0 0 1 4
27 1 1 0 0 1 5
28 1 1 0 0 1 6
29 1 1 0 0 1 7
30 1 1 0 0 1 8
31 1 1 0 0 1 9
32 1 1 0 0 1 10
33 1 1 0 0 1 11
34 1 1 0 0 1 12
35 1 1 0 0 1 13
36 1 1 0 0 1 14
37 1 1 0 0 1 15
38 1 1 0 0 1 16
39 1 1 0 0 1 17
40 1 1 0 0 1 18
41 1 1 0 0 1 19
42 1 1 0 0 1 20
43 1 1 0 0 2 0
44 1 1 0 0 2 1
45 1 1 0 0 2 2
46 1 1 0 0 2 3
47 1 1 0 0 2 4
48 1 1 0 0 2 5
49 1 1 0 0 2 6
50 1 1 0 0 2 7
51 1 1 0 0 2 8
52 1 1 0 0 2 9
53 1 1 0 0 2 10
54 1 1 0 0 2 11
55 1 1 0 0 2 12
56 1 1 0 0 2 13
57 1 1 0 0 2 14
58 1 1 0 0 2 15
59 1 1 0 0 2 16
60 1 1 0 0 2 17
61 1 1 0 0 2 18
62 1 1 0 0 2 19
63 1 1 0 0 2 20
64 1 1 0 0 3 0
65 1 1 0 0 3 1
66 1 1 0 0 3 2
67 1 1 0 0 3 3
68 1 1 0 0 3 4
69 1 1 0 0 3 5
70 1 1 0 0 3 6
71 1 1 0 0 3 7
72 1 1 0 0 3 8
73 1 1 0 0 3 9
74 1 1 0 0 3 10
75 1 1 0 0 3 11
76 1 1 0 0 3 12
77 1 1 0 0 3 13
78 1 1 0 0 3 14
79 1 1 0 0 3 15
80 1 1 0 0 3 16
81 1 1 0 0 3 17
82 1 1 0 0 3 18
83 1 1 0 0 3 19
84 1 1 0 0 3 20
85 1 1 0 0 4 0
86 1 1 0 0 4 1
87 1 1 0 0 4 2
88 1 1 0 0 4 3
89 1 1 0 0 4 4
90 1 1 0 0 4 5
91 1 1 0 0 4 6
92 1 1 0 0 4 7
93 1 1 0 0 4 8
94 1 1 0 0 4 9
95 1 1 0 0 4 10
96 1 1 0 0 4 11
97 1 1 0 0 4 12
98 1 1 0 0 4 13
99 1 1 0 0 4 14
100 1 1 0 0 4 15
101 1 1 0 0 4 16
102 1 1 0 0 4 17
103 1 1 0 0 4 18
104 1 1 0 0 4 19
105 1 1 0 0 4 20
106 1 1 0 0 5 0
107 1 1 0 0 5 1
108 1 1 0 0 5 2
109 1 1 0 0 5 3
110 1 1 0 0 5 4
111 1 1 0 0 5 5
112 1 1 0 0 5 6
113 1 1 0 0 5 7
114 1 1 0 0 5 8
115 1 1 0 0 5 9
116 1 1 0 0 5 10
117 1 1 0 0 5 11
118 1 1 0 0 5 12
119 1 1 0 0 5 13
120 1 1 0 0 5 14
121 1 1 0 0 5 15
122 1 1 0 0 5 16
123 1 1 0 0 5 17
124 1 1 0 0 5 18
125 1 1 0 0 5 19
126 1 1 0 0 5 20
127 1 1 0 0 6 0
128 1 1 0 0 6 1
129 1 1 0 0 6 2
130 1 1 0 0 6 3
131 1 1 0 0 6 4
132 1 1 0 0 6 5
133 1 1 0 0 6 6
134 1 1 0 0 6 7
135 1 1 0 0 6 8
136 1 1 0 0 6 9
137 1 1 0 0 6 10
138 1 1 0 0 6 11
139 1 1 0 0 6 12
140 1 1 0 0 6 13
141 1 1 0 0 6 14
142 1 1 0 0 6 15
143 1 1 0 0 6 16
144 1 1 0 0 6 17
145 1 1 0 0 6 18
146 1 1 0 0 6 19
147 1 1 0 0 6 20
148 1 1 0 0 7 0
149 1 1 0 0 7 1
150 1 1 0 0 7 2
151 1 1 0 0 7 3
152 1 1 0 0 7 4
153 1 1 0 0 7 5
154 1 1 0 0 7 6
155 1 1 0 0 7 7
156 1 1 0 0 7 8
157 1 1 0 0 7 9
158 1 1 0 0 7 10
159 1 1 0 0 7 11
160 1 1 0 0 7 12
161 1 1 0 0 7 13
162 1 1 0 0 7 14
163 1 1 0 0 7 15
164 1 1 0 0 7 16
165 1 1 0 0 7 17
166 1 1 0 0 7 18
167 1 1 0 0 7 19
168 1 1 0 0 7 20
169 1 1 0 0 8 0
170 1 1 0 0 8 1
171 1 1 0 0 8 2
172 1 1 0 0 8 3
173 1 1 0 0 8 4
174 1 1 0 0 8 5
175 1 1 0 0 8 6
176 1 1 0 0 8 7
177 1 1 0 0 8 8
178 1 1 0 0 8 9
179 1 1 0 0 8 10
180 1 1 0 0 8 11
181 1 1 0 0 8 12
182 1 1 0 0 8 13
183 1 1 0 0 8 14
184 1 1 0 0 8 15
185 1 1 0 0 8 16
186 1 1 0 0 8 17
187 1 1 0 0 8 18
188 1 1 0 0 8 19
189 1 1 0 0 8 20
190 1 1 0 0 9 0
191 1 1 0 0 9 1
192 1 1 0 0 9 2
193 1 1 0 0 9 3
194 1 1 0 0 9 4
195 1 1 0 0 9 5
196 1 1 0 0 9 6
197 1 1 0 0 9 7
198 1 1 0 0 9 8
199 1 1 0 0 9 9
200 1 1 0 0 9 10
201 1 1 0 0 9 11
202 1 1 0 0 9 12
203 1 1 0 0 9 13
204 1 1 0 0 9 14
205 1 1 0 0 9 15
206 1 1 0 0 9 16
207 1 1 0 0 9 17
208 1 1 0 0 9 18
209 1 1 0 0 9 19
210 1 1 0 0 9 20
211 1 1 0 0 10 0
212 1 1 0 0 10 1
213 1 1 0 0 10 2
214 1 1 0 0 10 3
215 1 1 0 0 10 4
216 1 1 0 0 10 5
217 1 1 0 0 10 6
218 1 1 0 0 10 7
219 1 1 0 0 10 8
220 1 1 0 0 10 9
221 1 1 0 0 10 10
222 1 1 0 0 10 11
223 1 1 0 0 10 12
224 1 1 0 0 10 13
225 1 1 0 0 10 14
