L3 L2 L1 orbit tau x
0 0 0 1 1 -1.001413
0 0 0 1 2 -1.148066
0 0 0 1 3 -1.119082
0 0 0 1 4 -0.803127
0 0 0 1 5 -1.022304
0 0 0 1 6 -0.809145
0 0 0 1 7 -1.011051
0 0 0 1 8 -1.170417
0 0 0 1 9 -1.324547
0 0 0 1 10 -1.112456
0 0 0 1 11 -1.031320
0 0 0 1 12 -1.316568
0 0 0 1 13 -0.951471
0 0 0 1 14 -0.868421
0 0 0 1 15 -0.834516
0 0 0 1 16 -1.048855
0 0 0 1 17 -1.430487
0 0 0 1 18 -1.490073
0 0 0 1 19 -1.561227
0 0 0 1 20 -1.371052
0 0 1 1 1 -1.055229
0 0 1 1 2 -1.318866
0 0 1 1 3 -1.769461
0 0 1 1 4 -1.927842
0 0 1 1 5 -2.111090
0 0 1 1 6 -1.450276
0 0 1 1 7 -1.156157
0 0 1 1 8 -1.373071
0 0 1 1 9 -1.001777
0 0 1 1 10 -0.767779
0 0 1 1 11 -0.964487
0 0 1 1 12 -0.699872
0 0 1 1 13 -0.877545
0 0 1 1 14 -1.072517
0 0 1 1 15 -0.963837
0 0 1 1 16 -1.082950
0 0 1 1 17 -1.223655
0 0 1 1 18 -1.107883
0 0 1 1 19 -1.036451
0 0 1 1 20 -0.886948
0 0 2 1 1 -1.501421
0 0 2 1 2 -1.173936
0 0 2 1 3 -1.039610
0 0 2 1 4 -0.866954
0 0 2 1 5 -0.692568
0 0 2 1 6 -0.654001
0 0 2 1 7 -0.562634
0 0 2 1 8 -0.690776
0 0 2 1 9 -1.058610
0 0 2 1 10 -0.903450
0 0 2 1 11 -1.037412
0 0 2 1 12 -1.250867
0 0 2 1 13 -1.124540
0 0 2 1 14 -0.959665
0 0 2 1 15 -0.909951
0 0 2 1 16 -1.458107
0 0 2 1 17 -1.416634
0 0 2 1 18 -1.460129
0 0 2 1 19 -1.431497
0 0 2 1 20 -1.338732
0 0 3 1 1 -2.487099
0 0 3 1 2 -2.151130
0 0 3 1 3 -2.346836
0 0 3 1 4 -2.154116
0 0 3 1 5 -1.851133
0 0 3 1 6 -2.142974
0 0 3 1 7 -1.750509
0 0 3 1 8 -1.638131
0 0 3 1 9 -1.645172
0 0 3 1 10 -1.937927
0 0 3 1 11 -1.776797
0 0 3 1 12 -1.631022
0 0 3 1 13 -1.434881
0 0 3 1 14 -1.318796
0 0 3 1 15 -1.663710
0 0 3 1 16 -1.620008
0 0 3 1 17 -1.809327
0 0 3 1 18 -1.999340
0 0 3 1 19 -2.358142
0 0 3 1 20 -2.472485
0 0 4 1 1 -2.392180
0 0 4 1 2 -2.751255
0 0 4 1 3 -2.545982
0 0 4 1 4 -2.415144
0 0 4 1 5 -2.382411
0 0 4 1 6 -2.600761
0 0 4 1 7 -2.890147
0 0 4 1 8 -2.774895
0 0 4 1 9 -2.717049
0 0 4 1 10 -2.476950
0 0 4 1 11 -2.309242
0 0 4 1 12 -2.403995
0 0 4 1 13 -2.332030
0 0 4 1 14 -2.215002
0 0 4 1 15 -2.312927
0 0 4 1 16 -2.218693
0 0 4 1 17 -2.161055
0 0 4 1 18 -2.212672
0 0 4 1 19 -2.330884
0 0 4 1 20 -2.321817
0 0 5 1 1 2.989132
0 0 5 1 2 2.832120
0 0 5 1 3 2.527942
0 0 5 1 4 2.587027
0 0 5 1 5 2.975645
0 0 5 1 6 2.874583
0 0 5 1 7 2.694506
0 0 5 1 8 2.704962
0 0 5 1 9 2.753051
0 0 5 1 10 2.803928
0 0 5 1 11 2.519044
0 0 5 1 12 2.638095
0 0 5 1 13 2.794387
0 0 5 1 14 3.035154
0 0 5 1 15 2.903538
0 0 5 1 16 3.178614
0 0 5 1 17 3.151101
0 0 5 1 18 3.240311
0 0 5 1 19 3.329382
0 0 5 1 20 3.150496
0 0 6 1 1 0.424834
0 0 6 1 2 0.240186
0 0 6 1 3 0.455734
0 0 6 1 4 0.490915
0 0 6 1 5 0.006046
0 0 6 1 6 -0.033758
0 0 6 1 7 -0.232706
0 0 6 1 8 -0.344490
0 0 6 1 9 -0.036547
0 0 6 1 10 -0.147174
0 0 6 1 11 -0.080863
0 0 6 1 12 0.220411
0 0 6 1 13 0.755204
0 0 6 1 14 0.974047
0 0 6 1 15 1.019805
0 0 6 1 16 1.227166
0 0 6 1 17 1.186278
0 0 6 1 18 0.981970
0 0 6 1 19 0.689972
0 0 6 1 20 0.531444
0 0 7 1 1 3.210673
0 0 7 1 2 3.187963
0 0 7 1 3 3.433512
0 0 7 1 4 3.370030
0 0 7 1 5 2.981871
0 0 7 1 6 3.196404
0 0 7 1 7 3.288699
0 0 7 1 8 2.915870
0 0 7 1 9 3.015257
0 0 7 1 10 2.602974
0 0 7 1 11 2.694100
0 0 7 1 12 2.735663
0 0 7 1 13 2.541914
0 0 7 1 14 2.683700
0 0 7 1 15 2.988094
0 0 7 1 16 2.979299
0 0 7 1 17 2.978171
0 0 7 1 18 3.289371
0 0 7 1 19 3.272733
0 0 7 1 20 3.144578
0 0 8 1 1 -3.041915
0 0 8 1 2 -2.661625
0 0 8 1 3 -2.394977
0 0 8 1 4 -2.307014
0 0 8 1 5 -2.359366
0 0 8 1 6 -2.482617
0 0 8 1 7 -2.366443
0 0 8 1 8 -2.789810
0 0 8 1 9 -3.005155
0 0 8 1 10 -3.320623
0 0 8 1 11 -3.190773
0 0 8 1 12 -3.213373
0 0 8 1 13 -2.818344
0 0 8 1 14 -2.725824
0 0 8 1 15 -2.685202
0 0 8 1 16 -2.742009
0 0 8 1 17 -3.024348
0 0 8 1 18 -3.024167
0 0 8 1 19 -3.138421
0 0 8 1 20 -3.082902
0 0 9 1 1 -1.353018
0 0 9 1 2 -1.060778
0 0 9 1 3 -0.680660
0 0 9 1 4 -0.861904
0 0 9 1 5 -0.645745
0 0 9 1 6 -0.509330
0 0 9 1 7 -0.323506
0 0 9 1 8 -0.121345
0 0 9 1 9 0.010598
0 0 9 1 10 -0.045391
0 0 9 1 11 -0.141108
0 0 9 1 12 -0.272261
0 0 9 1 13 -0.397009
0 0 9 1 14 -0.683567
0 0 9 1 15 -1.089255
0 0 9 1 16 -1.504173
0 0 9 1 17 -1.226169
0 0 9 1 18 -1.202962
0 0 9 1 19 -1.023090
0 0 9 1 20 -1.375639
0 0 10 1 1 0.337921
0 0 10 1 2 0.332168
0 0 10 1 3 0.434151
0 0 10 1 4 0.585345
0 0 10 1 5 0.475023
0 0 10 1 6 -0.013203
0 0 10 1 7 -0.158233
0 0 10 1 8 -0.440871
0 0 10 1 9 -0.156480
0 0 10 1 10 -0.012852
0 0 10 1 11 -0.042789
0 0 10 1 12 -0.172533
0 0 10 1 13 -0.106302
0 0 10 1 14 0.187814
0 0 10 1 15 -0.070876
0 0 10 1 16 -0.147351
0 0 10 1 17 0.196772
0 0 10 1 18 0.121570
0 0 10 1 19 0.358666
0 0 10 1 20 0.243023
0 0 11 1 1 1.528344
0 0 11 1 2 1.579912
0 0 11 1 3 1.780532
0 0 11 1 4 1.427370
0 0 11 1 5 1.745271
0 0 11 1 6 1.571395
0 0 11 1 7 1.825193
0 0 11 1 8 1.544281
0 0 11 1 9 1.348868
0 0 11 1 10 1.308067
0 0 11 1 11 1.424992
0 0 11 1 12 1.482100
0 0 11 1 13 1.621768
0 0 11 1 14 1.781881
0 0 11 1 15 2.043783
0 0 11 1 16 2.086154
0 0 11 1 17 1.655895
0 0 11 1 18 1.612143
0 0 11 1 19 1.740642
0 0 11 1 20 1.634296
0 1 0 1 1 -2.684665
0 1 0 1 2 -2.896824
0 1 0 1 3 -2.833549
0 1 0 1 4 -3.040166
0 1 0 1 5 -3.191736
0 1 0 1 6 -3.008624
0 1 0 1 7 -3.049847
0 1 0 1 8 -3.014835
0 1 0 1 9 -2.918376
0 1 0 1 10 -2.890588
0 1 0 1 11 -2.635918
0 1 0 1 12 -2.659661
0 1 0 1 13 -2.353957
0 1 0 1 14 -2.441376
0 1 0 1 15 -2.539600
0 1 0 1 16 -2.472709
0 1 0 1 17 -2.420608
0 1 0 1 18 -2.466756
0 1 0 1 19 -2.719599
0 1 0 1 20 -2.984300
0 1 1 1 1 -0.494554
0 1 1 1 2 -0.164152
0 1 1 1 3 -0.215435
0 1 1 1 4 -0.145568
0 1 1 1 5 -0.121598
0 1 1 1 6 -0.423322
0 1 1 1 7 -0.402489
0 1 1 1 8 -0.156806
0 1 1 1 9 -0.276624
0 1 1 1 10 -0.439115
0 1 1 1 11 -0.102355
0 1 1 1 12 -0.053157
0 1 1 1 13 -0.202513
0 1 1 1 14 0.078855
0 1 1 1 15 -0.111740
0 1 1 1 16 -0.252909
0 1 1 1 17 -0.123139
0 1 1 1 18 -0.229984
0 1 1 1 19 -0.061473
0 1 1 1 20 -0.245124
0 1 2 1 1 1.917100
0 1 2 1 2 1.990221
0 1 2 1 3 1.909166
0 1 2 1 4 1.845334
0 1 2 1 5 1.799744
0 1 2 1 6 2.287977
0 1 2 1 7 2.023564
0 1 2 1 8 2.146354
0 1 2 1 9 2.086799
0 1 2 1 10 2.306829
0 1 2 1 11 2.033620
0 1 2 1 12 1.716840
0 1 2 1 13 1.744661
0 1 2 1 14 1.743838
0 1 2 1 15 1.638365
0 1 2 1 16 2.169034
0 1 2 1 17 1.969701
0 1 2 1 18 2.308943
0 1 2 1 19 2.014282
0 1 2 1 20 1.759200
0 1 3 1 1 -0.645812
0 1 3 1 2 -1.095364
0 1 3 1 3 -1.348494
0 1 3 1 4 -1.223964
0 1 3 1 5 -0.916848
0 1 3 1 6 -0.638480
0 1 3 1 7 -0.698955
0 1 3 1 8 -0.771514
0 1 3 1 9 -0.648376
0 1 3 1 10 -0.740282
0 1 3 1 11 -0.746834
0 1 3 1 12 -0.848281
0 1 3 1 13 -0.653145
0 1 3 1 14 -0.666978
0 1 3 1 15 -0.801377
0 1 3 1 16 -0.831986
0 1 3 1 17 -0.767817
0 1 3 1 18 -0.682751
0 1 3 1 19 -0.695155
0 1 3 1 20 -0.562273
0 1 4 1 1 2.096800
0 1 4 1 2 1.828418
0 1 4 1 3 2.145990
0 1 4 1 4 2.391403
0 1 4 1 5 2.098140
0 1 4 1 6 2.274083
0 1 4 1 7 2.389870
0 1 4 1 8 2.012356
0 1 4 1 9 2.099022
0 1 4 1 10 1.753906
0 1 4 1 11 1.727448
0 1 4 1 12 1.994178
0 1 4 1 13 1.876982
0 1 4 1 14 2.001049
0 1 4 1 15 1.774539
0 1 4 1 16 1.795378
0 1 4 1 17 2.021676
0 1 4 1 18 2.040167
0 1 4 1 19 2.291933
0 1 4 1 20 2.176061
0 1 5 1 1 0.663208
0 1 5 1 2 0.766409
